CODLDR______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"LR-00284"	"materialeB0"	556	2095	15	0
"LR-00285"	"materialeB0"	418	2160	15	0
"LR-00286"	"materialeB0"	261	2160	15	0
"LR-00287"	"materialeB0"	336	2160	15	0
"LR-00288"	"materialeB0"	696	875	15	0
"LR-00289"	"materialeB0"	696	355	15	0
"LR-00290"	"materialeB0"	696	710	15	0
"LR-00291"	"materialeB0"	696	140	15	0
"LR-00292"	"materialeB0"	193	2160	15	0
"LR-00293"	"materialeB0"	581	2160	15	0
"LR-00294"	"materialeB0"	288	2160	15	0
"LR-00295"	"materialeB0"	158	2160	15	0
"LR-00296"	"materialeB0"	263	2160	15	0
"LR-00297"	"materialeB0"	295	2160	15	0
"LR-00298"	"materialeB0"	117	2160	15	0
"LR-00299"	"materialeB0"	249	2160	15	0
"LR-00300"	"materialeB0"	270	2160	15	0
"LR-00301"	"materialeB0"	103	2180	15	0
"LR-00302"	"materialeB0"	88	2180	15	0
"LR-00303"	"materialeB0"	156	2180	15	0
"LR-00304"	"materialeB0"	228	370	15	0
"LR-00305"	"materialeB0"	228	1730	15	0
"LR-00306"	"materialeB0"	88	370	15	0
"LR-00307"	"materialeB0"	88	1730	15	0
"LR-00308"	"materialeB0"	386	2180	15	0
"LR-00309"	"materialeB0"	126	2180	15	0
"LR-00310"	"materialeB0"	210	2180	15	0
"LR-00311"	"materialeB0"	596	2180	15	0
"LR-00312"	"materialeB0"	561	165	15	0
"LR-00313"	"materialeB0"	561	690	15	0
"LR-00314"	"materialeB0"	436	2180	15	0
"LR-00315"	"materialeB0"	363	2180	15	0
"LR-00316"	"materialeB0"	336	2180	15	0
"LR-00317"	"materialeB0"	586	2180	15	0
"LR-00318"	"materialeB0"	225	2180	15	-39
"LR-00319"	"materialeB0"	290	2180	15	0
"LR-00320"	"materialeB0"	159	2180	15	0
"LR-00321"	"materialeB0"	373	2180	15	0
"LR-00322"	"materialeB0"	38	2180	15	0
"LR-00323"	"materialeB0"	141	2180	15	0
"LR-00324"	"materialeB0"	58	1730	15	0
"LR-00325"	"materialeB0"	58	370	15	0
"LR-00326"	"materialeB0"	476	2180	15	0
"LR-00327"	"materialeB0"	137	2180	15	0
"LR-00328"	"materialeB0"	229	2180	15	39
"LR-00329"	"materialeB0"	74	2180	15	0
"LR-00330"	"materialeB0"	396	2180	15	0
"LR-00331"	"materialeB0"	263	2180	15	0
"LR-00332"	"materialeB0"	63	2180	15	0
"LR-00333"	"materialeB0"	283	2180	15	0
"LR-00334"	"materialeB0"	162	2180	15	-42
"LR-00335"	"materialeB0"	78	2180	15	0
"LR-00336"	"materialeB0"	163	2180	15	0
"LR-00337"	"materialeB0"	171	2180	15	0
"LR-00338"	"materialeB0"	546	2180	15	0
"LR-00339"	"materialeB0"	166	2180	15	0
"LR-00340"	"materialeB0"	98	2180	15	0
"LR-00341"	"materialeB0"	160	2180	15	0
"LR-00342"	"materialeB0"	394	2180	15	0
"LR-00343"	"materialeB0"	496	2180	15	0
"LR-00344"	"materialeB0"	410	2180	15	0
"LR-00345"	"materialeB0"	413	2180	15	0
"LR-00346"	"materialeB0"	356	2180	15	0
"LR-00347"	"materialeB0"	129	2180	15	32
"LR-00348"	"materialeB0"	50	2180	15	0
"LR-00349"	"materialeB0"	428	2180	15	12
"LR-00350"	"materialeB0"	63	2180	15	0
"LR-00351"	"materialeB0"	296	2180	15	0
"LR-00352"	"materialeB0"	401	2180	15	0
"LR-00353"	"materialeB0"	443	2180	15	0
"LR-00354"	"materialeB0"	596	370	15	0
"LR-00355"	"materialeB0"	596	1730	15	0
"LR-00356"	"materialeB0"	98	2180	15	0
"LR-00357"	"materialeB0"	82	2180	15	0
"LR-00358"	"materialeB0"	51	2180	15	0
"LR-00359"	"materialeB0"	168	2180	15	0
"LR-00360"	"materialeB0"	63	2180	15	12
"LR-00361"	"materialeB0"	428	2180	15	0
"LR-00362"	"materialeB0"	50	2180	15	32
"LR-00363"	"materialeB0"	129	2180	15	0
"LR-00364"	"materialeB0"	83	2180	15	0
"LR-00365"	"materialeB0"	28	2180	15	0
"LR-00366"	"materialeB0"	131	2180	15	0
"LR-00367"	"materialeB0"	415	2180	15	0
"LR-00368"	"materialeB0"	39	2180	15	0
"LR-00369"	"materialeB0"	211	2180	15	0
"LR-00370"	"materialeB0"	128	2180	15	0
"LR-00371"	"materialeB0"	480	2180	15	14
"LR-00372"	"materialeB0"	116	2180	15	0
"LR-00373"	"materialeB0"	46	2180	15	2
"LR-00374"	"materialeB0"	91	2180	15	0
"LR-00375"	"materialeB0"	102	2180	15	15
"LR-00376"	"materialeB0"	311	2180	15	0
"LR-00377"	"materialeB0"	153	2180	15	0
"LR-00378"	"materialeB0"	50	2180	15	0
"LR-00379"	"materialeB0"	596	390	15	0
"LR-00380"	"materialeB0"	596	1710	15	0
"LR-00381"	"materialeB0"	102	2180	15	0
"LR-00382"	"materialeB0"	248	2180	15	14
"LR-00383"	"materialeB0"	248	2180	15	0
"LR-00384"	"materialeB0"	102	2180	15	14
"LR-00385"	"materialeB0"	297	2180	15	0
"LR-00386"	"materialeB0"	326	2180	15	0
"LR-00387"	"materialeB0"	102	2180	15	0
"LR-00388"	"materialeB0"	311	2180	15	15
"LR-00389"	"materialeB0"	46	2180	15	0
"LR-00390"	"materialeB0"	91	2180	15	2
"LR-00391"	"materialeB0"	116	2180	15	14
"LR-00392"	"materialeB0"	480	2180	15	0
"LR-00393"	"materialeB0"	453	2180	15	0
"LR-00394"	"materialeB0"	400	2180	15	0
"LR-00395"	"materialeB0"	130	2180	15	0
"LR-00396"	"materialeB0"	146	2180	15	0
"LR-00397"	"materialeB0"	187	2180	15	48
"LR-00398"	"materialeB0"	140	2180	15	0
"LR-00399"	"materialeB0"	333	2180	15	0
"LR-00400"	"materialeB0"	61	2180	15	0
"LR-00401"	"materialeB0"	108	2180	15	0
"LR-00402"	"materialeB0"	43	2180	15	36
"LR-00403"	"materialeB0"	446	2180	15	0
"LR-00404"	"materialeB0"	66	2180	15	0
"LR-00405"	"materialeB0"	341	2180	15	0
"LR-00406"	"materialeB0"	288	2180	15	0
"LR-00407"	"materialeB0"	508	2180	15	0
"LR-00408"	"materialeB0"	48	2180	15	18
"LR-00409"	"materialeB0"	228	2180	15	0
"LR-00410"	"materialeB0"	368	2180	15	-39
"LR-00411"	"materialeB0"	516	2180	15	0
"LR-00412"	"materialeB0"	462	2180	15	0
"LR-00413"	"materialeB0"	466	2180	15	0
"LR-00414"	"materialeB0"	238	2180	15	0
"LR-00415"	"materialeB0"	286	2180	15	0
"LR-00416"	"materialeB0"	340	2180	15	0
"LR-00417"	"materialeB0"	548	2180	15	0
"LR-00418"	"materialeB0"	328	2180	15	-39
"LR-00419"	"materialeB0"	86	2180	15	0
"LR-00420"	"materialeB0"	138	2180	15	0
"LR-00421"	"materialeB0"	435	2180	15	0
"LR-00422"	"materialeB0"	178	2180	15	39
"LR-00423"	"materialeB0"	191	2180	15	0
"LR-00424"	"materialeB0"	72	2180	15	0
"LR-00425"	"materialeB0"	244	2180	15	0
"LR-00426"	"materialeB0"	193	2180	15	0
"LR-00427"	"materialeB0"	540	2180	15	0
"LR-00428"	"materialeB0"	290	2180	15	0
"LR-00429"	"materialeB0"	416	2180	15	0
"LR-00430"	"materialeB0"	536	2180	15	0
"LR-00431"	"materialeB0"	541	2180	15	0
"LR-00432"	"materialeB0"	226	2180	15	0
"LR-00433"	"materialeB0"	313	2180	15	0
"LR-00434"	"materialeB0"	521	2180	15	0
"LR-00435"	"materialeB0"	522	2180	15	0
"LR-00436"	"materialeB0"	350	2180	15	0
"LR-00437"	"materialeB0"	261	2180	15	0
"LR-00438"	"materialeB0"	509	2180	15	0
"LR-00439"	"materialeB0"	426	2180	15	0
"LR-00440"	"materialeB0"	566	2180	15	0
"LR-00441"	"materialeB0"	173	2180	15	0
"LR-00442"	"materialeB0"	290	2180	15	-39
"LR-00443"	"materialeB0"	225	2180	15	0
"LR-00444"	"materialeB0"	158	2180	15	0
"LR-00445"	"materialeB0"	350	2180	15	39
"LR-00446"	"materialeB0"	246	2180	15	0
"LR-00447"	"materialeB0"	289	2180	15	0
"LR-00448"	"materialeB0"	90	2180	15	0
"LR-00449"	"materialeB0"	246	2180	15	39
"LR-00450"	"materialeB0"	464	2180	15	0
"LR-00451"	"materialeB0"	90	2180	15	39
"LR-00452"	"materialeB0"	241	2180	15	0
"LR-00453"	"materialeB0"	194	2180	15	0
"LR-00454"	"materialeB0"	113	2180	15	0
"LR-00455"	"materialeB0"	346	2180	15	0
"LR-00456"	"materialeB0"	351	2180	15	14
"LR-00457"	"materialeB0"	57	2180	15	0
"LR-00458"	"materialeB0"	329	2180	15	0
"LR-00459"	"materialeB0"	203	2180	15	0
"LR-00460"	"materialeB0"	298	2180	15	0
"LR-00461"	"materialeB0"	48	2180	15	0
"LR-00462"	"materialeB0"	235	2180	15	39
"LR-00463"	"materialeB0"	371	2180	15	0
"LR-00464"	"materialeB0"	394	2180	15	5
"LR-00465"	"materialeB0"	48	2180	15	0
"LR-00466"	"materialeB0"	47	2180	15	26
"LR-00467"	"materialeB0"	122	2180	15	0
"LR-00468"	"materialeB0"	248	2180	15	0
